name	date	location	country
LIB2|59|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
LIB2|60|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
LIB2|61|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
LIB2|62|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
LIB2|63|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
LIB2|64|DENV1|LACENMS|2022-04-17	2022-04-17	Midwest-MS	MS
LIB2|65|DENV1|LACENMS|2022-04-17	2022-04-17	Midwest-MS	MS
LIB2|77|DENV1|LACENMS|2022-04-14	2022-04-14	Midwest-MS	MS
LIB2|78|DENV1|LACENMS|2022-04-13	2022-04-13	Midwest-MS	MS
LIB2|79|DENV1|LACENMS|2022-04-17	2022-04-17	Midwest-MS	MS
LIB2|85|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
LIB2|86|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
