name	date	location	country
DENV-1|PY|NB5|2022-03-25	2022-03-25	Paraguay	Other
DENV-1|PY|NB15|2022-05-10	2022-05-10	Paraguay	Other
DENV-1|PY|NB20|2022-06-02	2022-06-02	Paraguay	Other
DENV-1|PY|NB21|2022-06-20	2022-06-20	Paraguay	Other
LIB1|01|DENV1|LACENMS|2022-03-23	2022-03-23	Midwest-MS	MS
LIB1|05|DENV1|LACENMS|2022-03-25	2022-03-25	Midwest-MS	MS
LIB1|07|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|10|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|14|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|15|DENV1|LACENMS|2022-03-25	2022-03-25	Midwest-MS	MS
LIB1|16|DENV1|LACENMS|2022-03-24	2022-03-24	Midwest-MS	MS
LIB1|18|DENV1|LACENMS|2022-03-30	2022-03-30	Midwest-MS	MS
LIB1|20|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|21|DENV1|LACENMS|2022-03-30	2022-03-30	Midwest-MS	MS
LIB1|22|DENV1|LACENMS|2022-03-30	2022-03-30	Midwest-MS	MS
LIB1|27|DENV1|LACENMS|2022-03-31	2022-03-31	Midwest-MS	MS
LIB1|28|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|29|DENV1|LACENMS|2022-03-30	2022-03-30	Midwest-MS	MS
LIB1|30|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|33|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|34|DENV1|LACENMS|2022-03-29	2022-03-29	Midwest-MS	MS
LIB1|35|DENV1|LACENMS|2022-03-29	2022-03-29	Midwest-MS	MS
LIB1|38|DENV1|LACENMS|2022-04-04	2022-04-04	Midwest-MS	MS
LIB1|40|DENV1|LACENMS|2022-04-01	2022-04-01	Midwest-MS	MS
LIB1|41|DENV1|LACENMS|2022-04-06	2022-04-06	Midwest-MS	MS
LIB1|42|DENV1|LACENMS|2022-04-03	2022-04-03	Midwest-MS	MS
LIB1|46|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|47|DENV1|LACENMS|2022-04-01	2022-04-01	Midwest-MS	MS
LIB1|51|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|52|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|56|DENV1|LACENMS|2022-03-31	2022-03-31	Midwest-MS	MS
LIB1|57|DENV1|LACENMS|2022-03-31	2022-03-31	Midwest-MS	MS
LIB1|58|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|60|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|62|DENV1|LACENMS|2022-04-06	2022-04-06	Midwest-MS	MS
LIB1|64|DENV1|LACENMS|2022-04-06	2022-04-06	Midwest-MS	MS
LIB1|65|DENV1|LACENMS|2022-04-07	2022-04-07	Midwest-MS	MS
LIB1|67|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|68|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|69|DENV1|LACENMS|2022-04-08	2022-04-08	Midwest-MS	MS
LIB1|70|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|71|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|72|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|73|DENV1|LACENMS|2022-04-11	2022-04-11	Midwest-MS	MS
LIB1|74|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|77|DENV1|LACENMS|2022-04-05	2022-04-05	Midwest-MS	MS
LIB1|81|DENV1|LACENMS|2022-04-04	2022-04-04	Midwest-MS	MS
LIB1|82|DENV1|LACENMS|2022-04-04	2022-04-04	Midwest-MS	MS
LIB1|85|DENV1|LACENMS|2022-04-10	2022-04-10	Midwest-MS	MS
LIB1|87|DENV1|LACENMS|2022-04-13	2022-04-13	Midwest-MS	MS
LIB1|88|DENV1|LACENMS|2022-04-13	2022-04-13	Midwest-MS	MS
LIB1|90|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|91|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|92|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB1|93|DENV1|LACENMS|2022-04-12	2022-04-12	Midwest-MS	MS
LIB2|01|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
LIB2|03|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
LIB2|06|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
LIB2|07|DENV1|LACENMS|2022-04-14	2022-04-14	Midwest-MS	MS
LIB2|13|DENV1|LACENMS|2022-05-19	2022-05-19	Midwest-MS	MS
LIB2|15|DENV1|LACENMS|2022-05-01	2022-05-01	Midwest-MS	MS
LIB2|16|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|17|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|18|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|23|DENV1|LACENMS|2022-04-14	2022-04-14	Midwest-MS	MS
LIB2|24|DENV1|LACENMS|2022-04-15	2022-04-15	Midwest-MS	MS
LIB2|25|DENV1|LACENMS|2022-04-30	2022-04-30	Midwest-MS	MS
LIB2|27|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|28|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|29|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|30|DENV1|LACENMS|2022-04-19	2022-04-19	Midwest-MS	MS
LIB2|33|DENV1|LACENMS|2022-04-13	2022-04-13	Midwest-MS	MS
LIB2|35|DENV1|LACENMS|2022-04-13	2022-04-13	Midwest-MS	MS
LIB2|41|DENV1|LACENMS|2022-04-19	2022-04-19	Midwest-MS	MS
LIB2|42|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|43|DENV1|LACENMS|2022-04-19	2022-04-19	Midwest-MS	MS
LIB2|45|DENV1|LACENMS|2022-04-18	2022-04-18	Midwest-MS	MS
LIB2|46|DENV1|LACENMS|2022-04-17	2022-04-17	Midwest-MS	MS
LIB2|47|DENV1|LACENMS|2022-04-17	2022-04-17	Midwest-MS	MS
LIB2|49|DENV1|LACENMS|2022-04-16	2022-04-16	Midwest-MS	MS
